uid,currency_id,main_balance,locked_balance
ID1000000001,BTC,0.284823196,
ID1000000001,LTC,0.65094732,
ID1000000001,DASH,0.105006662,
ID1000000001,ETH,4.690233695,
ID1000000001,BCH,0.175040485,
ID1000000001,USD,22253.57947,
ID1000000001,XRP,416.9762832,
ID1000000001,CGCX,199463.1405,
ID1000000002,BTC,-156.8729945,
ID1000000002,LTC,-19010.31886,
ID1000000002,DASH,-5898.097469,
ID1000000002,ETH,-5255.228233,
ID1000000002,BCH,-2019.891116,
ID1000000002,USD,-1359020.896,
ID1000000002,XRP,-3400124.896,
ID1000000002,CGCX,-1122020789,
ID1000000003,BTC,128.7779078,
ID1000000003,LTC,18974.55177,
ID1000000003,DASH,5797.944993,
ID1000000003,ETH,4504.365815,
ID1000000003,BCH,1960.404262,
ID1000000003,USD,1321669.274,
ID1000000003,XRP,3390639.534,
ID1000000003,CGCX,0,
ID1000000005,BTC,23.40268883,
ID1000000005,LTC,19.997,
ID1000000005,DASH,0.045,
ID1000000005,ETH,644.5134116,
ID1000000005,BCH,30.214541,
ID1000000005,USD,0,
ID1000000005,XRP,5999.94,
ID1000000005,CGCX,0,
ID1000000006,BTC,0,
ID1000000006,LTC,0,
ID1000000006,DASH,0,
ID1000000006,ETH,0,
ID1000000006,BCH,0,
ID1000000006,USD,0,
ID1000000006,XRP,0,
ID1000000006,CGCX,0,
ID1000000008,BTC,0,
ID1000000008,LTC,0,
ID1000000008,DASH,0,
ID1000000008,ETH,0,
ID1000000008,BCH,0,
ID1000000008,USD,0.000000099,
ID1000000008,XRP,0,
ID1000000008,CGCX,999.999998,
ID1000000009,BTC,0.49974055,
ID1000000009,LTC,10,
ID1000000009,DASH,100,
ID1000000009,ETH,10.49875,
ID1000000009,BCH,10,
ID1000000009,USD,8239.535602,
ID1000000009,XRP,100,
ID1000000009,CGCX,520.9465661,
ID1000000010,BTC,0,
ID1000000010,LTC,0,
ID1000000010,DASH,0,
ID1000000010,ETH,0,
ID1000000010,BCH,0,
ID1000000010,USD,0,
ID1000000010,XRP,0,
ID1000000010,CGCX,40,
ID1000000011,BTC,0,
ID1000000011,LTC,0,
ID1000000011,DASH,0,
ID1000000011,ETH,0,
ID1000000011,BCH,0,
ID1000000011,USD,0,
ID1000000011,XRP,0,
ID1000000011,CGCX,40,
ID1000000012,BTC,0,
ID1000000012,LTC,0,
ID1000000012,DASH,0,
ID1000000012,ETH,0,
ID1000000012,BCH,0,
ID1000000012,USD,0,
ID1000000012,XRP,0,
ID1000000012,CGCX,40,
ID1000000014,BTC,0,
ID1000000014,LTC,0,
ID1000000014,DASH,0,
ID1000000014,ETH,0,
ID1000000014,BCH,0,
ID1000000014,USD,0,
ID1000000014,XRP,0,
ID1000000014,CGCX,40,
ID1000000015,BTC,0,
ID1000000015,LTC,0,
ID1000000015,DASH,0,
ID1000000015,ETH,0,
ID1000000015,BCH,0,
ID1000000015,USD,0,
ID1000000015,XRP,0,
